Año;Numero de habitantes;País;Región
2011;;Canadá;Norteamérica
2011;730;Chile;Sudamérica
2011;5131;China;Asia
2011;8934;Colombia;Sudamérica
2011;1181;Cuba;Centroamérica
2011;253;República Checa;Europa
2011;;Dinamarca;Europa
2011;562;República Dominicana;Centroamérica
2011;12358;Ecuador;Sudamérica
2011;;Egipto;África
2011;100;El Salvador;Centroamérica
2011;958;Guinea Ecuatorial;África
2011;2158;Francia;Europa
2011;188;Georgia;Europa
2011;1447;Alemania;Europa
2011;484;Ghana;África
2011;112;Grecia;Europa
2011;142;Guatemala;Centroamérica
2011;1069;Honduras;Centroamérica
2011;171;Hungría;Europa
2011;1805;India;Asia
2011;188;Irlanda;Europa
2011;5645;Italia;Europa
2011;116;Japón;Asia
2011;;Jordania;Asia
2011;107;Letonia;Europa
2011;;Líbano;Asia
2011;;Liberia;África
2011;;Libia;África
2011;268;Lituania;Europa
2011;1347;Mali;África
2011;;Mauritania;África
2011;593;México;Norteamérica
2011;184;Moldavia;Europa
2011;3427;Marruecos;África
2011;439;Países Bajos;Europa
2011;;nueva Zelanda;Oceanía
2011;250;Nicaragua;Centroamérica
2011;2824;Nigeria;África
2011;4402;Pakistán;Asia
2011;;Panamá;Centroamérica
2011;1422;Paraguay;Sudamérica
2011;1240;Perú;Sudamérica
2011;174;Filipinas;Asia
2011;957;Polonia;Europa
2011;854;Portugal;Europa
2011;534;Guinea;África
2011;;Corea del Sur;Asia
2011;11568;Rumanía;Europa
2011;855;Rusia;Europa
2011;1874;Senegal;África
2011;;Sierra Leona;África
2011;120;Eslovaquia;Europa
2011;154;Suecia;Europa
2011;121;Suiza;Europa
2011;160;Siria;Asia
2011;1975;Ucrania;Europa
2011;1391;Reino Unido;Europa
2011;486;Estados Unidos;Norteamérica
2011;1328;Uruguay;Sudamérica
2011;1532;Venezuela;Sudamérica
2012;;Albania;Europa
2012;2200;Argelia;África
2012;2507;Argentina;Sudamérica
2012;846;Armenia;Europa
2012;128;Austria;Europa
2012;106;Bangladesh;Asia
2012;267;Bélgica;Europa
2012;11257;Bolivia;Sudamérica
2012;1987;Brasil;Sudamérica
2012;3598;Bulgaria;Europa
2012;221;Camerún;África
2012;;Canadá;Norteamérica
2012;686;Chile;Sudamérica
2012;5312;China;Asia
2012;7657;Colombia;Sudamérica
2012;1112;Cuba;Centroamérica
2012;260;República Checa;Europa
2012;;Dinamarca;Europa
2012;558;República Dominicana;Centroamérica
2012;10164;Ecuador;Sudamérica
2012;;Egipto;África
2012;101;El Salvador;Centroamérica
2012;934;Guinea Ecuatorial;África
2012;2225;Francia;Europa
2012;195;Georgia;Europa
2012;1428;Alemania;Europa
2012;484;Ghana;África
2012;109;Grecia;Europa
2012;146;Guatemala;Centroamérica
2012;1339;Honduras;Centroamérica
2012;192;Hungría;Europa
2012;2037;India;Asia
2012;205;Irlanda;Europa
2012;5914;Italia;Europa
2012;120;Japón;Asia
2012;;Jordania;Asia
2012;121;Letonia;Europa
2012;;Líbano;Asia
2012;;Liberia;África
2012;;Libia;África
2012;279;Lituania;Europa
2012;1120;Mali;África
2012;;Mauritania;África
2012;544;México;Norteamérica
2012;183;Moldavia;Europa
2012;3424;Marruecos;África
2012;433;Países Bajos;Europa
2012;;nueva Zelanda;Oceanía
2012;294;Nicaragua;Centroamérica
2012;2688;Nigeria;África
2012;5325;Pakistán;Asia
2012;;Panamá;Centroamérica
2012;1393;Paraguay;Sudamérica
2012;1074;Perú;Sudamérica
2012;180;Filipinas;Asia
2012;945;Polonia;Europa
2012;808;Portugal;Europa
2012;447;Guinea;África
2012;;Corea del Sur;Asia
2012;12667;Rumanía;Europa
2012;919;Rusia;Europa
2012;1749;Senegal;África
2012;;Sierra Leona;África
2012;126;Eslovaquia;Europa
2012;153;Suecia;Europa
2012;118;Suiza;Europa
