Año;Numero de habitantes;País;Región
2012;153;Siria;Asia
2012;2003;Ucrania;Europa
2012;1465;Reino Unido;Europa
2012;473;Estados Unidos;Norteamérica
2012;1180;Uruguay;Sudamérica
2012;1476;Venezuela;Sudamérica
2013;;Albania;Europa
2013;2209;Argelia;África
2013;2196;Argentina;Sudamérica
2013;864;Armenia;Europa
2013;124;Austria;Europa
2013;108;Bangladesh;Asia
2013;263;Bélgica;Europa
2013;10396;Bolivia;Sudamérica
2013;1783;Brasil;Sudamérica
2013;3399;Bulgaria;Europa
2013;200;Camerún;África
2013;;Canadá;Norteamérica
2013;636;Chile;Sudamérica
2013;5373;China;Asia
2013;6980;Colombia;Sudamérica
2013;1114;Cuba;Centroamérica
2013;220;República Checa;Europa
2013;;Dinamarca;Europa
2013;591;República Dominicana;Centroamérica
2013;8903;Ecuador;Sudamérica
2013;;Egipto;África
2013;114;El Salvador;Centroamérica
2013;836;Guinea Ecuatorial;África
2013;2121;Francia;Europa
2013;203;Georgia;Europa
2013;1386;Alemania;Europa
2013;442;Ghana;África
2013;110;Grecia;Europa
2013;161;Guatemala;Centroamérica
2013;1462;Honduras;Centroamérica
2013;186;Hungría;Europa
2013;2087;India;Asia
2013;218;Irlanda;Europa
2013;5954;Italia;Europa
2013;128;Japón;Asia
2013;;Jordania;Asia
2013;131;Letonia;Europa
2013;;Líbano;Asia
2013;;Liberia;África
2013;;Libia;África
2013;282;Lituania;Europa
2013;1018;Mali;África
2013;;Mauritania;África
2013;507;México;Norteamérica
2013;160;Moldavia;Europa
2013;3351;Marruecos;África
2013;420;Países Bajos;Europa
2013;;nueva Zelanda;Oceanía
2013;301;Nicaragua;Centroamérica
2013;2654;Nigeria;África
2013;5666;Pakistán;Asia
2013;;Panamá;Centroamérica
2013;1301;Paraguay;Sudamérica
2013;1007;Perú;Sudamérica
2013;180;Filipinas;Asia
2013;895;Polonia;Europa
2013;809;Portugal;Europa
2013;371;Guinea;África
2013;;Corea del Sur;Asia
2013;12176;Rumanía;Europa
2013;1009;Rusia;Europa
2013;1560;Senegal;África
2013;;Sierra Leona;África
2013;113;Eslovaquia;Europa
2013;149;Suecia;Europa
2013;118;Suiza;Europa
2013;167;Siria;Asia
2013;1944;Ucrania;Europa
2013;1547;Reino Unido;Europa
2013;496;Estados Unidos;Norteamérica
2013;1015;Uruguay;Sudamérica
2013;1416;Venezuela;Sudamérica
2014;87;Albania;Europa
2014;2236;Argelia;África
2014;1972;Argentina;Sudamérica
2014;856;Armenia;Europa
2014;137;Austria;Europa
2014;121;Bangladesh;Asia
2014;255;Bélgica;Europa
2014;9043;Bolivia;Sudamérica
2014;1525;Brasil;Sudamérica
2014;3140;Bulgaria;Europa
2014;207;Camerún;África
2014;86;Canadá;Norteamérica
2014;547;Chile;Sudamérica
2014;5545;China;Asia
2014;5826;Colombia;Sudamérica
2014;1031;Cuba;Centroamérica
2014;187;República Checa;Europa
2014;;Dinamarca;Europa
2014;581;República Dominicana;Centroamérica
2014;7485;Ecuador;Sudamérica
2014;98;Egipto;África
2014;112;El Salvador;Centroamérica
2014;828;Guinea Ecuatorial;África
2014;2008;Francia;Europa
2014;202;Georgia;Europa
2014;1287;Alemania;Europa
2014;438;Ghana;África
2014;110;Grecia;Europa
2014;149;Guatemala;Centroamérica
2014;1458;Honduras;Centroamérica
2014;203;Hungría;Europa
2014;2030;India;Asia
2014;237;Irlanda;Europa
2014;5739;Italia;Europa
2014;122;Japón;Asia
2014;;Jordania;Asia
2014;120;Letonia;Europa
2014;85;Líbano;Asia
2014;;Liberia;África
2014;54;Libia;África
2014;289;Lituania;Europa
2014;1003;Mali;África
2014;;Mauritania;África
2014;473;México;Norteamérica
2014;148;Moldavia;Europa
2014;3141;Marruecos;África
2014;399;Países Bajos;Europa
2014;;nueva Zelanda;Oceanía
2014;272;Nicaragua;Centroamérica
2014;2568;Nigeria;África
2014;5455;Pakistán;Asia
2014;;Panamá;Centroamérica
2014;1137;Paraguay;Sudamérica
2014;841;Perú;Sudamérica
2014;181;Filipinas;Asia
2014;808;Polonia;Europa
2014;761;Portugal;Europa
2014;337;Guinea;África
2014;103;Corea del Sur;Asia
2014;11496;Rumanía;Europa
2014;1126;Rusia;Europa
2014;1490;Senegal;África
2014;;Sierra Leona;África
2014;;Eslovaquia;Europa
2014;144;Suecia;Europa
2014;114;Suiza;Europa
2014;183;Siria;Asia
2014;1947;Ucrania;Europa
2014;1561;Reino Unido;Europa
2014;494;Estados Unidos;Norteamérica
2014;864;Uruguay;Sudamérica
2014;1243;Venezuela;Sudamérica
2015;88;Albania;Europa
2015;2170;Argelia;África
2015;1821;Argentina;Sudamérica
2015;864;Armenia;Europa
2015;143;Austria;Europa
2015;105;Bangladesh;Asia
2015;271;Bélgica;Europa
2015;7419;Bolivia;Sudamérica
2015;1388;Brasil;Sudamérica
2015;3219;Bulgaria;Europa
2015;200;Camerún;África
2015;87;Canadá;Norteamérica
2015;508;Chile;Sudamérica
2015;5826;China;Asia
2015;4924;Colombia;Sudamérica
2015;955;Cuba;Centroamérica
2015;184;República Checa;Europa
2015;;Dinamarca;Europa
2015;526;República Dominicana;Centroamérica
2015;6149;Ecuador;Sudamérica
2015;111;Egipto;África
2015;112;El Salvador;Centroamérica
2015;813;Guinea Ecuatorial;África
2015;2181;Francia;Europa
2015;202;Georgia;Europa
2015;1358;Alemania;Europa
2015;424;Ghana;África
2015;122;Grecia;Europa
2015;128;Guatemala;Centroamérica
2015;1531;Honduras;Centroamérica
2015;205;Hungría;Europa
2015;2006;India;Asia
2015;271;Irlanda;Europa
2015;6082;Italia;Europa
2015;128;Japón;Asia
2015;;Jordania;Asia
2015;132;Letonia;Europa
2015;86;Líbano;Asia
2015;;Liberia;África
2015;82;Libia;África
2015;291;Lituania;Europa
2015;975;Mali;África
2015;;Mauritania;África
2015;453;México;Norteamérica
2015;155;Moldavia;Europa
2015;3018;Marruecos;África
2015;415;Países Bajos;Europa
2015;;nueva Zelanda;Oceanía
2015;284;Nicaragua;Centroamérica
2015;2410;Nigeria;África
2015;5443;Pakistán;Asia
2015;;Panamá;Centroamérica
2015;1093;Paraguay;Sudamérica
2015;712;Perú;Sudamérica
2015;201;Filipinas;Asia
2015;831;Polonia;Europa
2015;780;Portugal;Europa
2015;293;Guinea;África
2015;117;Corea del Sur;Asia
2015;12047;Rumanía;Europa
2015;1281;Rusia;Europa
2015;1471;Senegal;África
2015;;Sierra Leona;África
2015;;Eslovaquia;Europa
2015;166;Suecia;Europa
2015;116;Suiza;Europa
2015;249;Siria;Asia
2015;2030;Ucrania;Europa
2015;1770;Reino Unido;Europa
2015;538;Estados Unidos;Norteamérica
2015;788;Uruguay;Sudamérica
2015;1248;Venezuela;Sudamérica
2016;106;Albania;Europa
2016;2222;Argelia;África
2016;1815;Argentina;Sudamérica
2016;908;Armenia;Europa
2016;138;Austria;Europa
2016;115;Bangladesh;Asia
2016;291;Bélgica;Europa
2016;6736;Bolivia;Sudamérica
2016;1425;Brasil;Sudamérica
2016;3338;Bulgaria;Europa
2016;210;Camerún;África
2016;88;Canadá;Norteamérica
2016;504;Chile;Sudamérica
2016;6273;China;Asia
2016;4738;Colombia;Sudamérica
2016;977;Cuba;Centroamérica
2016;189;República Checa;Europa
2016;;Dinamarca;Europa
2016;510;República Dominicana;Centroamérica
2016;5794;Ecuador;Sudamérica
2016;122;Egipto;África
2016;118;El Salvador;Centroamérica
2016;846;Guinea Ecuatorial;África
2016;2418;Francia;Europa
2016;213;Georgia;Europa
2016;1430;Alemania;Europa
2016;424;Ghana;África
2016;137;Grecia;Europa
2016;108;Guatemala;Centroamérica
2016;1773;Honduras;Centroamérica
2016;226;Hungría;Europa
2016;2096;India;Asia
2016;299;Irlanda;Europa
2016;6754;Italia;Europa
2016;136;Japón;Asia
2016;;Jordania;Asia
2016;142;Letonia;Europa
2016;111;Líbano;Asia
2016;;Liberia;África
2016;104;Libia;África
2016;309;Lituania;Europa
2016;950;Mali;África
2016;;Mauritania;África
2016;480;México;Norteamérica
2016;155;Moldavia;Europa
2016;3063;Marruecos;África
2016;445;Países Bajos;Europa
2016;;nueva Zelanda;Oceanía
2016;289;Nicaragua;Centroamérica
2016;2318;Nigeria;África
2016;5539;Pakistán;Asia
2016;;Panamá;Centroamérica
2016;1100;Paraguay;Sudamérica
2016;699;Perú;Sudamérica
2016;220;Filipinas;Asia
2016;887;Polonia;Europa
2016;869;Portugal;Europa
2016;290;Guinea;África
2016;128;Corea del Sur;Asia
2016;12483;Rumanía;Europa
2016;1474;Rusia;Europa
2016;1524;Senegal;África
2016;;Sierra Leona;África
2016;;Eslovaquia;Europa
2016;196;Suecia;Europa
2016;135;Suiza;Europa
2016;283;Siria;Asia
2016;2381;Ucrania;Europa
2016;1946;Reino Unido;Europa
2016;619;Estados Unidos;Norteamérica
2016;742;Uruguay;Sudamérica
2016;1512;Venezuela;Sudamérica
